Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Total Precipitation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd]
2018;11;04;00;00;7.03;0.60;14.76;257.32
2018;11;04;01;00;7.05;0.20;14.49;255.62
2018;11;04;02;00;7.04;0.00;14.35;252.47
2018;11;04;03;00;6.49;0.00;16.10;259.70
2018;11;04;04;00;6.25;0.00;17.29;267.61
2018;11;04;05;00;6.16;0.00;17.28;271.19
2018;11;04;06;00;6.00;0.00;17.28;271.19
2018;11;04;07;00;5.97;0.00;18.36;270.00
2018;11;04;08;00;5.94;0.00;19.16;275.39
2018;11;04;09;00;6.12;0.00;19.91;282.53
2018;11;04;10;00;6.40;0.00;20.52;285.26
2018;11;04;11;00;6.60;0.00;21.97;288.14
2018;11;04;12;00;7.05;0.00;21.93;293.20
2018;11;04;13;00;6.69;0.00;22.06;296.15
2018;11;04;14;00;6.51;0.00;20.77;295.68
2018;11;04;15;00;8.44;0.00;21.58;297.85
2018;11;04;16;00;7.75;0.00;20.32;299.74
2018;11;04;17;00;6.77;0.00;17.91;300.17
2018;11;04;18;00;6.45;0.00;15.19;301.43
2018;11;04;19;00;5.44;0.00;12.10;300.38
2018;11;04;20;00;4.57;0.00;11.49;302.20
2018;11;04;21;00;3.82;0.00;9.96;310.60
2018;11;04;22;00;3.05;0.00;8.91;313.36
2018;11;04;23;00;2.37;0.00;7.99;305.84
2018;11;05;00;00;1.71;0.00;7.42;292.83
2018;11;05;01;00;1.06;0.00;7.29;290.22
2018;11;05;02;00;0.56;0.00;6.38;286.39
2018;11;05;03;00;-0.15;0.00;6.29;283.24
2018;11;05;04;00;0.06;0.00;6.38;286.39
2018;11;05;05;00;-0.34;0.00;6.83;288.43
2018;11;05;06;00;-0.65;0.00;7.63;289.29
2018;11;05;07;00;-0.98;0.00;7.52;286.70
2018;11;05;08;00;-1.28;0.00;8.65;286.93
2018;11;05;09;00;-1.01;0.00;8.77;289.18
2018;11;05;10;00;-0.11;0.00;7.34;281.31
2018;11;05;11;00;1.15;0.00;7.52;286.70
2018;11;05;12;00;2.55;0.00;8.12;282.80
2018;11;05;13;00;4.41;0.00;8.35;277.43
2018;11;05;14;00;5.61;0.00;8.77;289.18
2018;11;05;15;00;6.77;0.00;3.40;237.99
2018;11;05;16;00;6.56;0.00;4.07;225.00
2018;11;05;17;00;6.12;0.00;4.33;228.37
2018;11;05;18;00;5.84;0.00;5.12;230.71
2018;11;05;19;00;5.41;0.00;5.35;227.73
2018;11;05;20;00;4.98;0.00;5.60;225.00
2018;11;05;21;00;4.49;0.00;5.60;225.00
2018;11;05;22;00;4.03;0.00;5.86;227.49
2018;11;05;23;00;3.44;0.00;5.62;219.81
2018;11;06;00;00;2.96;0.00;5.62;219.81
2018;11;06;01;00;2.50;0.00;5.86;222.51
2018;11;06;02;00;2.13;0.00;5.90;217.57
2018;11;06;03;00;1.81;0.00;6.37;222.71
2018;11;06;04;00;1.42;0.00;6.64;220.60
2018;11;06;05;00;1.02;0.00;6.64;220.60
2018;11;06;06;00;0.62;0.00;6.88;222.88
2018;11;06;07;00;0.27;0.00;6.37;222.71
2018;11;06;08;00;0.05;0.00;6.41;218.16
2018;11;06;09;00;0.50;0.00;5.90;217.57
2018;11;06;10;00;1.48;0.00;9.18;228.18
2018;11;06;11;00;2.34;0.00;7.99;215.84
2018;11;06;12;00;4.63;0.00;8.67;221.63
2018;11;06;13;00;6.20;0.00;10.69;225.00
2018;11;06;14;00;6.96;0.00;11.72;227.49
2018;11;06;15;00;7.06;0.00;10.95;242.59
2018;11;06;16;00;7.09;0.00;9.34;242.45
2018;11;06;17;00;6.65;0.00;6.79;237.99
2018;11;06;18;00;6.41;0.00;6.41;231.84
2018;11;06;19;00;6.15;0.00;6.64;229.40
2018;11;06;20;00;5.81;0.00;6.99;235.49
2018;11;06;21;00;5.41;0.00;6.99;235.49
2018;11;06;22;00;5.00;0.00;7.15;229.09
2018;11;06;23;00;4.56;0.00;7.15;229.09
2018;11;07;00;00;4.07;0.00;6.64;229.40
2018;11;07;01;00;3.60;0.00;6.62;225.00
2018;11;07;02;00;3.14;0.00;6.64;220.60
2018;11;07;03;00;2.49;0.00;6.79;212.01
2018;11;07;04;00;1.75;0.00;6.76;205.20
2018;11;07;05;00;1.09;0.00;7.29;200.22
2018;11;07;06;00;0.56;0.00;7.17;197.53
2018;11;07;07;00;0.49;0.00;7.17;197.53
2018;11;07;08;00;0.99;0.00;8.85;206.57
2018;11;07;09;00;1.31;0.00;9.83;203.75
2018;11;07;10;00;2.26;0.00;9.00;196.26
2018;11;07;11;00;4.57;0.00;10.14;196.50
2018;11;07;12;00;6.72;0.00;13.24;202.38
2018;11;07;13;00;8.30;0.00;14.37;202.07
2018;11;07;14;00;9.33;0.00;15.46;207.76
2018;11;07;15;00;8.21;0.00;15.00;210.26
2018;11;07;16;00;7.87;0.00;13.58;212.01
2018;11;07;17;00;6.97;0.00;12.39;215.54
2018;11;07;18;00;6.24;0.00;13.00;221.63
2018;11;07;19;00;5.56;0.00;13.32;231.58
2018;11;07;20;00;5.20;0.00;14.02;240.80
2018;11;07;21;00;5.24;0.00;14.01;244.09
2018;11;07;22;00;4.22;0.00;13.10;249.08
2018;11;07;23;00;3.60;0.00;12.92;257.13
2018;11;08;00;00;2.90;0.00;11.37;259.05
2018;11;08;01;00;2.90;0.00;11.93;264.81
2018;11;08;02;00;2.92;0.00;10.45;268.03
2018;11;08;03;00;2.97;0.00;10.08;270.00
2018;11;08;04;00;2.97;0.00;9.39;274.40
2018;11;08;05;00;2.98;0.00;8.71;277.13
2018;11;08;06;00;2.99;0.00;7.64;278.13
2018;11;08;07;00;2.90;0.00;6.99;281.89
2018;11;08;08;00;2.84;0.00;6.57;279.46
2018;11;08;09;00;2.98;0.00;6.21;280.01
2018;11;08;10;00;3.18;0.00;5.51;281.31
2018;11;08;11;00;3.61;0.00;5.09;278.13
2018;11;08;12;00;4.03;0.00;5.09;278.13
2018;11;08;13;00;4.46;0.00;5.09;278.13
2018;11;08;14;00;4.96;0.00;4.02;280.30
2018;11;08;15;00;4.32;0.00;1.80;306.87
2018;11;08;16;00;4.18;0.00;2.31;321.34
2018;11;08;17;00;4.02;0.00;2.62;344.05
2018;11;08;18;00;3.91;0.00;2.52;360.00
2018;11;08;19;00;3.79;0.00;3.10;35.54
2018;11;08;20;00;3.64;0.00;3.40;57.99
2018;11;08;21;00;3.44;0.00;3.42;71.57
2018;11;08;22;00;3.35;0.00;3.55;66.04
2018;11;08;23;00;3.23;0.00;3.08;69.44
2018;11;09;00;00;3.11;0.00;3.08;69.44
2018;11;09;01;00;3.02;0.00;3.08;69.44
2018;11;09;02;00;2.94;0.00;3.42;71.57
2018;11;09;03;00;2.83;0.00;3.08;69.44
2018;11;09;04;00;2.75;0.00;3.08;69.44
2018;11;09;05;00;2.61;0.00;3.55;66.04
2018;11;09;06;00;2.51;0.00;3.88;68.20
2018;11;09;07;00;2.45;0.00;4.21;70.02
2018;11;09;08;00;2.32;0.00;4.45;75.96
2018;11;09;09;00;2.39;0.00;5.09;81.87
2018;11;09;10;00;2.51;0.00;5.76;90.00
2018;11;09;11;00;2.62;0.00;5.80;97.13
2018;11;09;12;00;2.69;0.00;5.94;104.04
2018;11;09;13;00;2.80;0.00;5.35;109.65
2018;11;09;14;00;2.90;0.00;5.82;111.80
2018;11;09;15;00;3.95;0.00;4.02;100.30
2018;11;09;16;00;3.86;0.00;4.69;94.40
2018;11;09;17;00;3.72;0.00;5.76;90.00
2018;11;09;18;00;3.63;0.00;6.12;90.00
2018;11;09;19;00;3.52;0.00;6.52;96.34
2018;11;09;20;00;3.37;0.00;6.52;96.34
2018;11;09;21;00;3.25;0.00;6.88;96.01
2018;11;09;22;00;3.14;0.00;6.92;98.97
2018;11;09;23;00;3.01;0.00;6.99;101.89
2018;11;10;00;00;2.90;0.00;6.99;101.89
2018;11;10;01;00;2.83;0.00;6.92;98.97
2018;11;10;02;00;2.71;0.00;7.64;98.13
2018;11;10;03;00;2.62;0.00;7.95;95.19
2018;11;10;04;00;2.47;0.00;8.65;92.39
2018;11;10;05;00;2.27;0.00;9.75;94.24
2018;11;10;06;00;2.12;0.00;10.54;97.85
2018;11;10;07;00;1.93;0.00;11.30;99.16
2018;11;10;08;00;1.88;0.00;10.95;99.46
2018;11;10;09;00;2.04;0.00;11.57;95.36
2018;11;10;10;00;2.35;0.00;12.98;93.18
2018;11;10;11;00;2.64;0.00;14.08;94.40
2018;11;10;12;00;2.70;0.00;15.14;92.73
2018;11;10;13;00;2.70;0.00;16.24;93.81
2018;11;10;14;00;2.66;0.00;16.94;92.44
2018;11;10;15;00;3.77;0.00;16.66;83.80
2018;11;10;16;00;3.68;0.00;17.82;81.87
2018;11;10;17;00;3.53;0.00;18.29;79.80
2018;11;10;18;00;3.44;0.00;19.49;78.27
2018;11;10;19;00;3.26;0.00;20.08;75.47
2018;11;10;20;00;3.04;0.00;22.38;78.87
2018;11;10;21;00;2.89;0.00;25.26;85.91
2018;11;10;22;00;2.43;0.00;26.64;89.23
2018;11;10;23;00;1.77;0.00;27.00;90.00
2018;11;11;00;00;1.14;0.00;28.19;95.13
2018;11;11;01;00;0.23;0.00;27.76;99.71
2018;11;11;02;00;-0.44;0.00;27.95;97.40
2018;11;11;03;00;-1.01;0.00;26.93;98.46
2018;11;11;04;00;-1.65;0.00;26.48;101.77
2018;11;11;05;00;-2.25;0.00;30.12;104.53
2018;11;11;06;00;-2.37;0.00;27.60;105.12
2018;11;11;07;00;-2.43;0.00;27.69;105.84
2018;11;11;08;00;-3.46;0.00;27.00;106.26
2018;11;11;09;00;-3.51;0.00;27.55;107.49
2018;11;11;10;00;-2.97;0.00;28.82;110.47
2018;11;11;11;00;-2.50;0.00;29.22;112.46
2018;11;11;12;00;-1.99;0.00;28.41;112.34
2018;11;11;13;00;-1.44;0.00;28.08;112.62
2018;11;11;14;00;-1.11;0.00;27.56;113.89
2018;11;11;15;00;-0.77;0.00;22.66;107.57
2018;11;11;16;00;-1.59;0.00;19.19;113.20
2018;11;11;17;00;-2.11;0.00;18.25;112.01
2018;11;11;18;00;-2.50;0.00;19.05;112.20
2018;11;11;19;00;-2.91;0.00;20.14;114.27
2018;11;11;20;00;-3.28;0.00;21.09;117.44
2018;11;11;21;00;-3.60;0.00;21.61;119.98
2018;11;11;22;00;-3.85;0.00;21.87;122.91
2018;11;11;23;00;-4.04;0.00;21.68;125.54
